mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.377735694249471,0.03871431541588859,0.11361002922058105,0.02609835622315643,100,5,1,sqrt,20,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",-35.215039813289685,-35.64932037802306,-37.64981698858858,-36.171392393300444,1.0603315095418535,10
1.5076590379079182,0.02149151676902647,0.06375265121459961,0.002463069535135648,100,2,1,sqrt,10,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-33.38349006784314,-34.228407019885324,-36.37838289454326,-34.66342666075724,1.2607609677791694,6
2.6208318074544272,0.07972715879701735,0.1665342648824056,0.07328757379429175,200,5,4,sqrt,10,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-33.30930273545216,-34.162053967718535,-36.31689858722473,-34.596085096798475,1.2656211828341313,1
4.767394145329793,0.21163210958061002,0.4407741228739421,0.03383128706200215,200,5,1,sqrt,20,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",-35.2295039279607,-35.6770803236141,-37.67917815258326,-36.195254134719356,1.065083416320539,11
1.192637046178182,0.09915650470474537,0.05581363042195638,0.00905865705885612,100,2,4,sqrt,10,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-33.306997821922984,-34.17618369434698,-36.31665176249487,-34.59994442625494,1.2646960317088982,2
5.482630650202434,0.015379382830569034,0.5760934352874756,0.03395195546897684,200,2,1,sqrt,20,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",-36.38648160386635,-36.48258465324713,-38.46966195727112,-37.11290940479486,0.9601708408796127,12
2.816775321960449,0.12106170057944898,0.13101736704508463,0.032015466146875296,200,2,2,sqrt,10,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-33.336295831600125,-34.175475804889416,-36.33417533480093,-34.61531565709682,1.2627786030866628,3
4.74047867457072,0.11801685564915576,0.3174794514973958,0.12964972758495666,200,10,2,sqrt,30,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",-34.445892853988646,-35.09449495833916,-37.17006994216563,-35.57015258483114,1.1618872105808729,9
2.7067716121673584,0.01681351029412928,0.10605438550313313,0.018450961072769726,200,5,1,sqrt,10,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-33.34915925768364,-34.18781481475857,-36.348635279260535,-34.62853645056758,1.263563946728016,5
1.1097620328267415,0.1489263195709481,0.04990394910176595,0.005726838377618529,100,5,2,sqrt,10,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-33.334411718050816,-34.183253621863074,-36.339739583396295,-34.619134974436726,1.265041055907299,4
2.9026406606038413,0.12926151213562498,0.11433005332946777,0.007419460742681943,200,5,4,sqrt,20,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",-33.84954080632714,-34.590819763268954,-36.69987260694851,-35.04674439218153,1.2074762368524883,7
1.7159818808237712,0.040293689910484154,0.10400279362996419,0.029051620096824715,100,10,1,sqrt,20,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",-34.38690834581634,-34.96565080616691,-37.06558434311964,-35.47271449836763,1.150843593657388,8
